,epoch,load.txt.data.x,load.txt.data.y,load.txt.data.z
204137,2015-06-23 11:39:24.002,-2.395462,9.492966,1.4479065
204139,2015-06-23 11:39:24.020,-2.5085297,9.406082,1.5145569
204141,2015-06-23 11:39:24.042,-2.7001495,9.45607,1.5074158
204143,2015-06-23 11:39:24.062,-2.8346405,9.569138,1.4490967
204145,2015-06-23 11:39:24.082,-2.8846283,9.5750885,1.5097961
204147,2015-06-23 11:39:24.101,-2.6251678,9.77861,1.4657593
204149,2015-06-23 11:39:24.121,-2.4228363,9.77623,1.4598083
204151,2015-06-23 11:39:24.141,-2.5073395,9.617935,1.3491211
204153,2015-06-23 11:39:24.161,-2.537094,9.592941,1.220581
204155,2015-06-23 11:39:24.181,-2.4026031,9.531052,1.1455994
204157,2015-06-23 11:39:24.200,-2.537094,9.571518,1.1682129
204159,2015-06-23 11:39:24.221,-2.6799164,9.621506,1.3538818
204161,2015-06-23 11:39:24.240,-2.4561615,9.589371,1.419342
204163,2015-06-23 11:39:24.262,-2.305008,9.631027,1.3955383
204165,2015-06-23 11:39:24.280,-2.2835846,9.691727,1.3979187
204167,2015-06-23 11:39:24.301,-2.375229,9.475113,1.2741394
204169,2015-06-23 11:39:24.319,-2.4156952,9.3763275,1.1729736
204171,2015-06-23 11:39:24.341,-2.4514008,9.477493,1.1598816
204173,2015-06-23 11:39:24.359,-2.2835846,9.670303,1.3467407
204175,2015-06-23 11:39:24.381,-2.183609,9.758377,1.2991333
204177,2015-06-23 11:39:24.400,-2.209793,9.665543,1.1289368
204179,2015-06-23 11:39:24.420,-2.2454987,9.657211,1.0956116
204181,2015-06-23 11:39:24.440,-2.38237,9.786942,1.2789001
204183,2015-06-23 11:39:24.460,-2.5585175,9.58699,1.2693787
204185,2015-06-23 11:39:24.480,-2.537094,9.508438,1.2515259
204187,2015-06-23 11:39:24.500,-2.5180511,9.435837,1.3288879
204189,2015-06-23 11:39:24.519,-2.4704437,9.414413,1.3824463
204191,2015-06-23 11:39:24.539,-2.4537811,9.547714,1.4800415
204193,2015-06-23 11:39:24.559,-2.2443085,9.58699,1.4288635
204195,2015-06-23 11:39:24.579,-2.1502838,9.592941,1.3503113
204197,2015-06-23 11:39:24.599,-2.0729218,9.71077,1.3086548
204199,2015-06-23 11:39:24.619,-2.0312653,9.719101,1.2574768
204201,2015-06-23 11:39:24.640,-1.9836578,9.684586,1.1836853
204203,2015-06-23 11:39:24.658,-2.003891,9.65007,1.1694031
204205,2015-06-23 11:39:24.680,-2.093155,9.610794,1.1265564
204207,2015-06-23 11:39:24.698,-2.0991058,9.553665,1.0908508
204209,2015-06-23 11:39:24.720,-2.2657318,9.7226715,1.0658569
204211,2015-06-23 11:39:24.739,-2.5251923,9.84169,1.0670471
204213,2015-06-23 11:39:24.759,-2.3061981,9.731003,0.95755005
204215,2015-06-23 11:39:24.779,-2.1479034,9.629837,1.040863
204217,2015-06-23 11:39:24.799,-2.1847992,9.653641,1.0384827
204219,2015-06-23 11:39:24.819,-2.138382,9.785751,1.0194397
204221,2015-06-23 11:39:24.838,-2.0205536,9.861923,0.8956604
204223,2015-06-23 11:39:24.858,-1.9777069,9.835739,0.7385559
204225,2015-06-23 11:39:24.878,-2.0526886,9.833359,0.68499756
204227,2015-06-23 11:39:24.898,-2.1014862,9.935715,0.92541504
204229,2015-06-23 11:39:24.918,-2.2335968,9.791702,0.9777832
204231,2015-06-23 11:39:24.937,-2.1395721,9.51915,1.2443848
204233,2015-06-23 11:39:24.957,-2.337143,9.485825,1.1503601
204235,2015-06-23 11:39:24.977,-2.3811798,9.476303,1.0670471
204237,2015-06-23 11:39:24.997,-1.9931793,9.591751,1.0337219
204239,2015-06-23 11:39:25.019,-2.1145782,9.748856,1.1598816
204241,2015-06-23 11:39:25.038,-2.0824432,9.813126,1.0860901
204243,2015-06-23 11:39:25.059,-1.8515472,9.794083,1.0194397
204245,2015-06-23 11:39:25.078,-1.8574982,9.811935,1.0396729
204247,2015-06-23 11:39:25.098,-1.8396454,9.772659,1.1658325
204249,2015-06-23 11:39:25.118,-1.7134857,9.64888,1.0587158
204251,2015-06-23 11:39:25.138,-1.7122955,9.538193,1.1789246
204253,2015-06-23 11:39:25.157,-1.7134857,9.52034,1.1313171
204255,2015-06-23 11:39:25.177,-1.4933014,9.597702,1.0634766
204257,2015-06-23 11:39:25.197,-1.9110565,9.834549,1.1503601
204259,2015-06-23 11:39:25.217,-1.8824921,9.804794,1.0242004
204261,2015-06-23 11:39:25.236,-1.8717804,9.822647,1.0515747
204263,2015-06-23 11:39:25.257,-1.8705902,9.879776,0.9968262
204265,2015-06-23 11:39:25.278,-1.901535,9.752426,1.0027771
204267,2015-06-23 11:39:25.298,-2.0538788,9.6584015,1.0111084
204269,2015-06-23 11:39:25.316,-2.183609,9.602463,1.0313416
204271,2015-06-23 11:39:25.338,-2.0455475,9.581039,1.0765686
204273,2015-06-23 11:39:25.357,-1.9110565,9.606033,1.1955872
204275,2015-06-23 11:39:25.378,-1.8741608,9.696487,1.2574768
204277,2015-06-23 11:39:25.397,-1.7956085,9.709579,1.1920166
204279,2015-06-23 11:39:25.417,-1.8491669,9.772659,1.1979675
204281,2015-06-23 11:39:25.437,-1.8598785,9.71434,1.21344
204283,2015-06-23 11:39:25.457,-1.9241486,9.71553,1.0825195
204285,2015-06-23 11:39:25.477,-2.0027008,9.740524,1.156311
204287,2015-06-23 11:39:25.496,-2.0157928,9.707199,1.0551453
204289,2015-06-23 11:39:25.516,-1.9158173,9.675064,1.046814
204291,2015-06-23 11:39:25.536,-1.952713,9.692917,1.0646667
204293,2015-06-23 11:39:25.556,-1.9729462,9.746475,1.156311
204295,2015-06-23 11:39:25.576,-1.9324799,9.747665,1.2015381
204297,2015-06-23 11:39:25.596,-1.9431915,9.672684,1.1634521
204299,2015-06-23 11:39:25.617,-1.971756,9.684586,1.207489
204301,2015-06-23 11:39:25.637,-2.0645905,9.745285,1.1860657
204303,2015-06-23 11:39:25.655,-1.9765167,9.721481,1.1325073
204305,2015-06-23 11:39:25.677,-1.9193878,9.697678,1.2360535
204307,2015-06-23 11:39:25.696,-1.7587128,9.698868,1.1598816
204309,2015-06-23 11:39:25.717,-1.939621,9.7226715,1.3157959
204311,2015-06-23 11:39:25.736,-1.93367,9.760757,1.2693787
204313,2015-06-23 11:39:25.756,-2.100296,9.706009,1.27771
204315,2015-06-23 11:39:25.776,-2.0824432,9.669113,1.2277222
204317,2015-06-23 11:39:25.796,-2.0455475,9.634598,1.1610718
204319,2015-06-23 11:39:25.815,-1.9765167,9.636978,1.1158447
204321,2015-06-23 11:39:25.835,-1.8860626,9.669113,1.1134644
204323,2015-06-23 11:39:25.855,-1.9681854,9.728622,1.2193909
204325,2015-06-23 11:39:25.875,-2.0669708,9.733383,1.2622375
204327,2015-06-23 11:39:25.895,-1.93367,9.673874,1.3348389
204329,2015-06-23 11:39:25.915,-1.843216,9.554855,1.4288635
204331,2015-06-23 11:39:25.936,-1.8444061,9.513199,1.5966797
204333,2015-06-23 11:39:25.954,-1.9443817,9.609604,1.5752563
204335,2015-06-23 11:39:25.976,-1.9788971,9.800034,1.1610718
204337,2015-06-23 11:39:25.994,-2.177658,9.982132,0.7909241
204339,2015-06-23 11:39:26.016,-2.2514496,10.09758,0.8230591
204341,2015-06-23 11:39:26.035,-2.1110077,10.049973,0.67904663
204343,2015-06-23 11:39:26.055,-2.293106,9.894058,0.70047
204345,2015-06-23 11:39:26.075,-2.2693024,9.698868,0.78378296
204347,2015-06-23 11:39:26.095,-2.0205536,9.544144,0.8968506
204349,2015-06-23 11:39:26.115,-2.0883942,9.45488,1.3443604
204351,2015-06-23 11:39:26.134,-1.9979401,9.433456,1.2336731
204353,2015-06-23 11:39:26.154,-1.9181976,9.538193,1.3336487
204355,2015-06-23 11:39:26.174,-1.9931793,9.571518,1.4122009
204357,2015-06-23 11:39:26.194,-2.1074371,9.671494,1.3467407
204359,2015-06-23 11:39:26.214,-2.144333,9.671494,1.2503357
204361,2015-06-23 11:39:26.233,-2.0967255,9.802414,1.0694275
204363,2015-06-23 11:39:26.255,-2.12648,9.772659,1.0075378
204365,2015-06-23 11:39:26.275,-1.9800873,9.707199,1.0099182
204367,2015-06-23 11:39:26.295,-1.9741364,9.644119,1.0170593
204369,2015-06-23 11:39:26.313,-2.0003204,9.6393585,1.1372681
