,epoch,load.txt.data.x,load.txt.data.y,load.txt.data.z
43509,2015-06-23 11:12:20.013,-0.20552063,9.735764,1.9906311
43511,2015-06-23 11:12:20.032,-0.15196228,9.765518,1.9680176
43513,2015-06-23 11:12:20.052,-0.15196228,9.788132,1.9382629
43515,2015-06-23 11:12:20.072,-0.16148376,9.804794,1.913269
43517,2015-06-23 11:12:20.092,-0.1424408,9.77742,1.9989624
43519,2015-06-23 11:12:20.111,-0.13291931,9.7798,1.9596863
43521,2015-06-23 11:12:20.132,-0.1745758,9.758377,1.9489746
43523,2015-06-23 11:12:20.151,-0.20314026,9.747665,1.9680176
43525,2015-06-23 11:12:20.173,-0.22694397,9.735764,1.9977722
43527,2015-06-23 11:12:20.191,-0.25431824,9.733383,2.0001526
43529,2015-06-23 11:12:20.213,-0.2328949,9.71077,2.0180054
43531,2015-06-23 11:12:20.232,-0.24360657,9.678635,1.9727783
43533,2015-06-23 11:12:20.252,-0.20552063,9.708389,2.0513306
43535,2015-06-23 11:12:20.272,-0.16386414,9.709579,2.0322876
43537,2015-06-23 11:12:20.292,-0.15553284,9.696487,2.022766
43539,2015-06-23 11:12:20.312,-0.13768005,9.725052,2.015625
43541,2015-06-23 11:12:20.332,-0.14363098,9.758377,1.9882507
43543,2015-06-23 11:12:20.351,-0.14125061,9.791702,2.0322876
43545,2015-06-23 11:12:20.371,-0.16029358,9.817886,1.9144592
43547,2015-06-23 11:12:20.391,-0.16148376,9.809555,1.9216003
43549,2015-06-23 11:12:20.411,-0.1591034,9.77742,1.9287415
43551,2015-06-23 11:12:20.431,-0.15672302,9.760757,1.945404
43553,2015-06-23 11:12:20.451,-0.20671082,9.7738495,1.9251709
43555,2015-06-23 11:12:20.471,-0.23765564,9.7548065,1.964447
43557,2015-06-23 11:12:20.492,-0.24003601,9.744095,2.0370483
43559,2015-06-23 11:12:20.512,-0.22932434,9.764328,1.970398
43561,2015-06-23 11:12:20.532,-0.2566986,9.753616,2.0120544
43563,2015-06-23 11:12:20.552,-0.26741028,9.723862,1.9656372
43565,2015-06-23 11:12:20.571,-0.26264954,9.739334,1.964447
43567,2015-06-23 11:12:20.592,-0.2412262,9.744095,1.9763489
43569,2015-06-23 11:12:20.611,-0.24241638,9.7226715,1.945404
43571,2015-06-23 11:12:20.631,-0.21980286,9.746475,1.8918457
43573,2015-06-23 11:12:20.651,-0.23051453,9.744095,1.9085083
43575,2015-06-23 11:12:20.671,-0.20314026,9.757187,1.970398
43577,2015-06-23 11:12:20.690,-0.2245636,9.744095,1.9918213
43579,2015-06-23 11:12:20.710,-0.2828827,9.739334,1.9763489
43581,2015-06-23 11:12:20.730,-0.29478455,9.745285,1.9751587
43583,2015-06-23 11:12:20.750,-0.3138275,9.766708,1.9299316
43585,2015-06-23 11:12:20.770,-0.3138275,9.785751,1.9073181
43587,2015-06-23 11:12:20.790,-0.29597473,9.794083,1.9204102
43589,2015-06-23 11:12:20.811,-0.28883362,9.750046,1.9715881
43591,2015-06-23 11:12:20.831,-0.2995453,9.701248,2.0120544
43593,2015-06-23 11:12:20.851,-0.29478455,9.65126,2.053711
43595,2015-06-23 11:12:20.871,-0.29716492,9.641739,2.1798706
43597,2015-06-23 11:12:20.891,-0.24717712,9.634598,2.1346436
43599,2015-06-23 11:12:20.910,-0.19480896,9.670303,2.144165
43601,2015-06-23 11:12:20.930,-0.18766785,9.694107,2.0501404
43603,2015-06-23 11:12:20.950,-0.17100525,9.77861,1.9870605
43605,2015-06-23 11:12:20.970,-0.17576599,9.863113,1.8751831
