,epoch,load.txt.data.x,load.txt.data.y,load.txt.data.z
284588,2015-06-23 11:52:58.010,-0.406662,9.933334,-0.98483276
284590,2015-06-23 11:52:58.029,-0.40190125,9.90715,-0.9312744
284592,2015-06-23 11:52:58.051,-0.28645325,9.800034,-0.82891846
284594,2015-06-23 11:52:58.069,-0.16148376,9.7226715,-0.71347046
284596,2015-06-23 11:52:58.091,0.08250427,9.772659,-0.53970337
284598,2015-06-23 11:52:58.109,0.20271301,9.819077,-0.33499146
284600,2015-06-23 11:52:58.131,0.60975647,10.041641,-0.04815674
284602,2015-06-23 11:52:58.150,0.92396545,10.274918,0.1303711
284604,2015-06-23 11:52:58.170,0.97276306,10.465347,0.3184204
284606,2015-06-23 11:52:58.188,0.79304504,10.441544,0.44934082
284608,2015-06-23 11:52:58.210,0.5585785,10.249924,0.42077637
284610,2015-06-23 11:52:58.229,0.21342468,9.809555,0.4933777
284612,2015-06-23 11:52:58.250,0.046798706,9.452499,0.40411377
284614,2015-06-23 11:52:58.269,-0.02104187,9.332291,0.39935303
284616,2015-06-23 11:52:58.289,-0.003189087,9.359665,0.46481323
284618,2015-06-23 11:52:58.309,0.21104431,9.566757,0.5683594
284620,2015-06-23 11:52:58.328,0.5395355,9.801224,0.56954956
284622,2015-06-23 11:52:58.349,0.6573639,9.892868,0.5255127
284624,2015-06-23 11:52:58.368,0.6633148,9.947617,0.5766907
284626,2015-06-23 11:52:58.390,0.7061615,9.963089,0.71832275
284628,2015-06-23 11:52:58.408,0.7942352,9.854782,0.6980896
284630,2015-06-23 11:52:58.430,0.74305725,9.760757,0.6135864
284632,2015-06-23 11:52:58.448,0.8358917,9.763138,0.65167236
284634,2015-06-23 11:52:58.469,0.98109436,9.800034,0.58740234
284636,2015-06-23 11:52:58.489,1.0786896,9.898819,0.5255127
284638,2015-06-23 11:52:58.509,1.2667389,9.961899,0.50527954
284640,2015-06-23 11:52:58.529,1.370285,9.90834,0.47433472
284642,2015-06-23 11:52:58.549,1.427414,9.771469,0.33984375
284644,2015-06-23 11:52:58.569,1.3798065,9.682205,0.32199097
284646,2015-06-23 11:52:58.588,1.3024445,9.71196,0.42196655
284648,2015-06-23 11:52:58.608,1.2631683,9.717911,0.52075195
284650,2015-06-23 11:52:58.628,1.2500763,9.785751,0.4600525
284652,2015-06-23 11:52:58.648,1.2298431,9.928574,0.56121826
284654,2015-06-23 11:52:58.668,1.3845673,9.863113,0.53027344
284656,2015-06-23 11:52:58.687,1.5297699,9.846451,0.48028564
284658,2015-06-23 11:52:58.709,1.5678558,9.850021,0.6159668
284660,2015-06-23 11:52:58.729,1.6297455,9.755997,0.6421509
284662,2015-06-23 11:52:58.747,1.7535248,9.652451,0.5397949
284664,2015-06-23 11:52:58.769,1.8463593,9.653641,0.63500977
284666,2015-06-23 11:52:58.788,1.9249115,9.621506,0.61120605
284668,2015-06-23 11:52:58.809,2.0427399,9.695297,0.5897827
284670,2015-06-23 11:52:58.828,2.159378,9.684586,0.60406494
284672,2015-06-23 11:52:58.848,2.255783,9.514389,0.6159668
284674,2015-06-23 11:52:58.868,2.3141022,9.600082,0.70166016
284676,2015-06-23 11:52:58.888,2.3652802,9.597702,0.8206787
284678,2015-06-23 11:52:58.907,2.435501,9.564377,0.82543945
284680,2015-06-23 11:52:58.927,2.4069366,9.516769,0.7909241
284682,2015-06-23 11:52:58.947,2.4402618,9.516769,0.796875
284684,2015-06-23 11:52:58.967,2.3748016,9.548904,0.73617554
284686,2015-06-23 11:52:58.987,2.5283356,9.538193,0.70285034
284688,2015-06-23 11:52:59.007,2.402176,9.402512,0.64572144
284690,2015-06-23 11:52:59.026,2.4176483,9.350143,0.61239624
284692,2015-06-23 11:52:59.048,2.23555,9.369186,0.71832275
284694,2015-06-23 11:52:59.066,2.0915375,9.352524,0.80163574
284696,2015-06-23 11:52:59.088,1.9439545,9.396561,0.8468628
284698,2015-06-23 11:52:59.107,1.588089,9.90834,0.9718323
284700,2015-06-23 11:52:59.128,1.062027,10.326096,0.75997925
