,epoch,load.txt.data.x,load.txt.data.y,load.txt.data.z
92815,2015-06-23 11:20:36.012,-1.0326996,9.666733,2.1917725
92817,2015-06-23 11:20:36.030,-1.0338898,9.694107,2.2048645
92819,2015-06-23 11:20:36.052,-1.1552887,9.679825,2.1215515
92821,2015-06-23 11:20:36.071,-1.2136078,9.672684,2.1358337
92823,2015-06-23 11:20:36.092,-1.2112274,9.675064,2.1405945
92825,2015-06-23 11:20:36.111,-1.2017059,9.64888,2.156067
92827,2015-06-23 11:20:36.131,-1.131485,9.698868,2.1358337
92829,2015-06-23 11:20:36.151,-1.0410309,9.748856,2.1417847
92831,2015-06-23 11:20:36.171,-1.0041351,9.858353,1.9287415
92833,2015-06-23 11:20:36.190,-1.1148224,9.846451,1.8632813
92835,2015-06-23 11:20:36.210,-1.1136322,9.709579,2.2905579
92837,2015-06-23 11:20:36.230,-1.1279144,9.611984,2.3012695
92839,2015-06-23 11:20:36.250,-1.2136078,9.629837,2.0299072
92841,2015-06-23 11:20:36.270,-1.2588348,9.5858,1.9096985
92843,2015-06-23 11:20:36.290,-1.2683563,9.45607,2.0108643
92845,2015-06-23 11:20:36.311,-1.2255096,9.446548,2.1489258
92847,2015-06-23 11:20:36.331,-1.1921844,9.565567,2.0572815
92849,2015-06-23 11:20:36.351,-1.0957794,9.744095,1.9180298
92851,2015-06-23 11:20:36.371,-1.112442,9.858353,1.7633057
92853,2015-06-23 11:20:36.391,-1.2159882,9.848831,1.7406921
92855,2015-06-23 11:20:36.411,-1.2112274,9.858353,1.7954407
92857,2015-06-23 11:20:36.430,-1.1612396,9.926193,1.8799438
92859,2015-06-23 11:20:36.450,-1.1624298,9.930954,1.8049622
92861,2015-06-23 11:20:36.470,-1.2064667,9.854782,1.6990356
92863,2015-06-23 11:20:36.490,-1.2255096,9.727432,1.8454285
92865,2015-06-23 11:20:36.510,-1.1755219,9.635788,2.021576
92867,2015-06-23 11:20:36.529,-1.1886139,9.565567,2.1548767
92869,2015-06-23 11:20:36.551,-1.1814728,9.606033,2.0882263
92871,2015-06-23 11:20:36.569,-1.1326752,9.732193,2.0108643
92873,2015-06-23 11:20:36.589,-1.1064911,9.952377,1.8704224
92875,2015-06-23 11:20:36.609,-1.1564789,10.110672,1.739502
92877,2015-06-23 11:20:36.630,-1.214798,10.053543,1.6276245
92879,2015-06-23 11:20:36.650,-1.2136078,9.791702,1.7156982
92881,2015-06-23 11:20:36.670,-1.3254852,9.548904,1.8858948
92883,2015-06-23 11:20:36.690,-1.3576202,9.420364,2.0549011
92885,2015-06-23 11:20:36.710,-1.3980865,9.423935,2.0787048
92887,2015-06-23 11:20:36.729,-1.3921356,9.501297,1.9751587
92889,2015-06-23 11:20:36.749,-1.3195343,9.538193,1.8466187
92891,2015-06-23 11:20:36.769,-1.2243195,9.608414,1.7156982
92893,2015-06-23 11:20:36.789,-1.2159882,9.698868,1.8632813
92895,2015-06-23 11:20:36.809,-1.2243195,9.791702,1.9251709
