,epoch,load.txt.data.x,load.txt.data.y,load.txt.data.z
276048,2015-06-23 11:51:32.000,0.6918793,9.872635,0.26010132
276049,2015-06-23 11:51:32.016,0.7549591,9.8702545,0.19821167
276051,2015-06-23 11:51:32.036,0.7394867,9.919052,0.23986816
276053,2015-06-23 11:51:32.055,0.6799774,9.910721,0.27557373
276055,2015-06-23 11:51:32.075,0.664505,9.878586,0.34936523
276057,2015-06-23 11:51:32.095,0.6978302,9.825027,0.32318115
276059,2015-06-23 11:51:32.115,0.7573395,9.808365,0.29580688
276061,2015-06-23 11:51:32.135,0.79304504,9.820267,0.28033447
276063,2015-06-23 11:51:32.154,0.8061371,9.879776,0.27200317
276065,2015-06-23 11:51:32.176,0.74305725,9.938095,0.12918091
276067,2015-06-23 11:51:32.194,0.7073517,9.922623,0.06967163
276069,2015-06-23 11:51:32.214,0.72520447,9.922623,-0.03744507
276071,2015-06-23 11:51:32.234,0.75852966,9.960709,-0.13504028
276073,2015-06-23 11:51:32.255,0.779953,10.001175,-0.09338379
276075,2015-06-23 11:51:32.275,0.7978058,9.995224,-0.1255188
276077,2015-06-23 11:51:32.295,0.8227997,9.9857025,-0.056488037
276079,2015-06-23 11:51:32.315,0.863266,9.90358,-0.105285645
276081,2015-06-23 11:51:32.335,0.8477936,9.83931,-0.20050049
276083,2015-06-23 11:51:32.354,0.7894745,9.825027,-0.17550659
276085,2015-06-23 11:51:32.374,0.77638245,9.884537,-0.064819336
276087,2015-06-23 11:51:32.394,0.7823334,9.90715,0.01373291
276089,2015-06-23 11:51:32.414,0.82637024,9.885727,-0.14099121
276091,2015-06-23 11:51:32.434,0.90849304,9.885727,-0.12313843
276093,2015-06-23 11:51:32.453,0.9025421,9.947617,0.01373291
276095,2015-06-23 11:51:32.474,0.87635803,9.9857025,0.15298462
276097,2015-06-23 11:51:32.493,0.9025421,9.947617,0.13513184
276099,2015-06-23 11:51:32.515,0.90849304,9.826218,0.124420166
276101,2015-06-23 11:51:32.533,0.9620514,9.71434,0.06967163
276103,2015-06-23 11:51:32.555,0.9763336,9.692917,-0.0029296875
276105,2015-06-23 11:51:32.573,1.0822601,9.77504,0.066101074
276107,2015-06-23 11:51:32.595,1.0346527,9.9857025,0.12561035
276109,2015-06-23 11:51:32.614,1.0048981,10.026169,0.23034668
276111,2015-06-23 11:51:32.634,1.0287018,9.96666,0.25057983
276113,2015-06-23 11:51:32.654,1.0667877,9.910721,0.30532837
276115,2015-06-23 11:51:32.674,1.088211,9.807175,0.32913208
276117,2015-06-23 11:51:32.694,1.0905914,9.71553,0.53860474
276119,2015-06-23 11:51:32.713,1.0929718,9.619125,0.4909973
276121,2015-06-23 11:51:32.733,1.139389,9.628647,0.28033447
276123,2015-06-23 11:51:32.753,1.1441498,9.744095,0.23153687
276125,2015-06-23 11:51:32.773,1.2298431,9.949997,0.29818726
276127,2015-06-23 11:51:32.793,1.3262482,10.09639,0.55407715
276129,2015-06-23 11:51:32.813,1.4845428,10.094009,0.5933533
276131,2015-06-23 11:51:32.834,1.5381012,10.009506,0.6088257
276133,2015-06-23 11:51:32.854,1.421463,9.853592,0.60406494
276135,2015-06-23 11:51:32.874,1.2845917,9.747665,0.598114
276137,2015-06-23 11:51:32.894,1.1727142,9.71196,0.64334106
276139,2015-06-23 11:51:32.914,1.1560516,9.696487,0.73379517
276141,2015-06-23 11:51:32.934,1.2476959,9.6905365,0.6826172
276143,2015-06-23 11:51:32.953,1.3095856,9.804794,0.6338196
276145,2015-06-23 11:51:32.974,1.4155121,9.926193,0.6397705
276147,2015-06-23 11:51:32.993,1.3833771,9.994034,0.7218933
276149,2015-06-23 11:51:33.013,1.3714752,10.005936,0.6754761
276151,2015-06-23 11:51:33.033,1.33815,9.923813,0.48742676
276153,2015-06-23 11:51:33.053,1.1631927,9.890488,0.48147583
276155,2015-06-23 11:51:33.073,0.92396545,9.952377,0.5647888
276157,2015-06-23 11:51:33.094,0.8192291,10.0047455,0.55407715
276159,2015-06-23 11:51:33.114,0.79304504,9.9535675,0.54455566
276161,2015-06-23 11:51:33.134,0.7894745,9.83931,0.57073975
276163,2015-06-23 11:51:33.154,0.7466278,9.628647,0.59454346
276165,2015-06-23 11:51:33.174,0.7323456,9.494156,0.5743103
276167,2015-06-23 11:51:33.194,0.67878723,9.531052,0.6885681
276169,2015-06-23 11:51:33.213,0.6168976,9.707199,0.85757446
276171,2015-06-23 11:51:33.233,0.6823578,10.005936,1.1813049
276173,2015-06-23 11:51:33.253,0.9013519,10.318954,1.4479065
276175,2015-06-23 11:51:33.273,1.2774506,10.616501,1.6276245
276177,2015-06-23 11:51:33.293,1.4059906,10.635544,1.7704468
276179,2015-06-23 11:51:33.313,1.4524078,10.361801,1.8144836
276181,2015-06-23 11:51:33.334,1.4178925,9.9535675,1.822815
276183,2015-06-23 11:51:33.354,1.4893036,9.71077,1.7490234
276185,2015-06-23 11:51:33.374,1.2667389,9.602463,1.8478088
276187,2015-06-23 11:51:33.394,0.68592834,9.548904,1.8644714
276189,2015-06-23 11:51:33.414,0.07417297,9.508438,1.771637
276191,2015-06-23 11:51:33.434,-0.56733704,9.534622,1.7775879
276193,2015-06-23 11:51:33.453,-1.1291046,9.434647,1.7359314
276195,2015-06-23 11:51:33.473,-1.6944427,9.316818,1.6264343
276197,2015-06-23 11:51:33.493,-1.9741364,9.412033,1.4467163
276199,2015-06-23 11:51:33.513,-1.9539032,9.746475,1.5788269
276201,2015-06-23 11:51:33.532,-1.6944427,9.71434,1.6038208
276203,2015-06-23 11:51:33.553,-1.324295,9.590561,1.8180542
