,epoch,load.txt.data.x,load.txt.data.y,load.txt.data.z
25461,2015-06-23 11:09:20.015,-0.2245636,9.551285,2.1643982
25463,2015-06-23 11:09:20.035,-0.27812195,9.589371,2.208435
25465,2015-06-23 11:09:20.055,-0.3650055,9.632217,2.1905823
25467,2015-06-23 11:09:20.073,-0.3983307,9.645309,2.123932
25469,2015-06-23 11:09:20.095,-0.38523865,9.652451,2.079895
25471,2015-06-23 11:09:20.114,-0.33644104,9.58342,2.053711
25473,2015-06-23 11:09:20.134,-0.31025696,9.664352,1.9287415
25475,2015-06-23 11:09:20.154,-0.32810974,9.944046,1.7871094
25477,2015-06-23 11:09:20.174,-0.36857605,10.103531,1.7966309
25479,2015-06-23 11:09:20.194,-0.3638153,10.024979,1.7704468
25481,2015-06-23 11:09:20.213,-0.27931213,9.853592,1.8061523
25483,2015-06-23 11:09:20.233,-0.19837952,9.742905,1.8097229
25485,2015-06-23 11:09:20.253,-0.13648987,9.704819,1.835907
25487,2015-06-23 11:09:20.273,-0.18171692,9.721481,1.9299316
25489,2015-06-23 11:09:20.293,-0.21028137,9.752426,1.9989624
25491,2015-06-23 11:09:20.312,-0.24836731,9.676254,2.1132202
25493,2015-06-23 11:09:20.334,-0.30549622,9.641739,2.0120544
25495,2015-06-23 11:09:20.354,-0.23646545,9.8059845,2.0120544
25497,2015-06-23 11:09:20.374,-0.22218323,9.946426,2.021576
25499,2015-06-23 11:09:20.394,-0.30311584,10.065445,2.0049133
25501,2015-06-23 11:09:20.413,-0.2983551,9.984512,2.2346191
25503,2015-06-23 11:09:20.434,-0.13648987,9.8381195,2.335785
25505,2015-06-23 11:09:20.453,0.11225891,9.757187,2.6345215
25507,2015-06-23 11:09:20.473,0.24317932,9.470352,2.8570862
25509,2015-06-23 11:09:20.493,0.009902954,9.169235,2.7487793
25511,2015-06-23 11:09:20.513,-0.118637085,8.9335785,2.7261658
25513,2015-06-23 11:09:20.532,-0.3650055,8.43013,2.7011719
25515,2015-06-23 11:09:20.552,-0.7196808,7.4660797,2.30484
25517,2015-06-23 11:09:20.572,-1.2909698,6.11998,2.1667786
25519,2015-06-23 11:09:20.592,-1.0410309,4.863144,0.6135864
25521,2015-06-23 11:09:20.611,-1.2028961,5.402298,0.61953735
25523,2015-06-23 11:09:20.632,-0.43641663,6.5651093,1.8275757
25525,2015-06-23 11:09:20.651,0.1539154,7.6303253,2.2667542
25527,2015-06-23 11:09:20.673,0.65974426,7.2328033,2.7011719
25529,2015-06-23 11:09:20.691,1.1977081,7.116165,2.7178345
25531,2015-06-23 11:09:20.713,0.24079895,8.512253,3.4307556
25533,2015-06-23 11:09:20.732,-1.6420746,10.540329,2.3572083
25535,2015-06-23 11:09:20.752,-2.3038177,11.004501,6.231262
25537,2015-06-23 11:09:20.772,-1.2386017,16.96257,4.338867
25539,2015-06-23 11:09:20.792,0.9882355,19.738083,-1.0217285
25541,2015-06-23 11:09:20.812,1.1834259,19.516708,3.7830505
25543,2015-06-23 11:09:20.832,0.44908142,21.620956,4.7637634
25545,2015-06-23 11:09:20.851,0.13606262,23.150345,1.9692078
25547,2015-06-23 11:09:20.871,-0.118637085,22.998001,4.3460083
25549,2015-06-23 11:09:20.891,-0.23884583,21.563828,5.8158875
25551,2015-06-23 11:09:20.911,-0.04008484,19.227493,6.6359253
25553,2015-06-23 11:09:20.931,-0.28407288,14.861893,6.453827
25555,2015-06-23 11:09:20.951,-1.3350067,10.257065,5.195801
25557,2015-06-23 11:09:20.971,-1.7301483,6.1306915,4.075836
25559,2015-06-23 11:09:20.992,-1.0898285,2.2161713,2.0977478
25561,2015-06-23 11:09:21.012,-0.44474792,-1.4436493,2.7749634
25563,2015-06-23 11:09:21.032,-0.34477234,-2.9635162,1.5133667
25565,2015-06-23 11:09:21.052,0.027755737,-3.7407074,1.7049866
25567,2015-06-23 11:09:21.071,0.8692169,-2.8135529,1.0313416
25569,2015-06-23 11:09:21.092,0.94895935,-1.6685944,0.75283813
25571,2015-06-23 11:09:21.111,0.30744934,-0.7247772,0.042297363
25573,2015-06-23 11:09:21.131,-0.036514282,-0.041610718,0.22796631
25575,2015-06-23 11:09:21.151,-0.207901,0.38685608,0.6469116
25577,2015-06-23 11:09:21.171,-0.26741028,0.47254944,0.963501
25579,2015-06-23 11:09:21.190,-0.2733612,0.46540833,1.2193909
25581,2015-06-23 11:09:21.210,-0.4376068,0.70344543,0.4100647
25583,2015-06-23 11:09:21.230,-1.2719269,2.9171906,-2.0940857
25585,2015-06-23 11:09:21.250,-0.96128845,5.2463837,6.018219
25587,2015-06-23 11:09:21.270,-2.2466888,10.952133,7.6047363
25589,2015-06-23 11:09:21.290,-0.82917786,30.917496,15.031494
25591,2015-06-23 11:09:21.311,1.0215607,22.53621,6.659729
25593,2015-06-23 11:09:21.331,10.842972,28.476425,-4.186432
25595,2015-06-23 11:09:21.351,-0.21028137,31.01152,0.53741455
25597,2015-06-23 11:09:21.371,-9.041458,35.69371,1.0634766
25599,2015-06-23 11:09:21.391,-1.8396454,25.954422,8.423584
25601,2015-06-23 11:09:21.410,-1.0362701,20.790207,7.8677673
25603,2015-06-23 11:09:21.430,-0.9898529,16.38533,8.584259
25605,2015-06-23 11:09:21.450,-1.2552643,11.242538,6.4312134
25607,2015-06-23 11:09:21.470,-0.11982727,7.3815765,3.4664612
25609,2015-06-23 11:09:21.490,0.30387878,3.625351,2.0203857
25611,2015-06-23 11:09:21.509,1.1631927,0.4427948,0.89208984
25613,2015-06-23 11:09:21.529,1.0953522,-1.9221039,0.8897095
25615,2015-06-23 11:09:21.549,0.25032043,-3.6811981,0.5076599
25617,2015-06-23 11:09:21.569,0.43955994,-3.6692963,0.6421509
25619,2015-06-23 11:09:21.589,0.2943573,-2.7814178,0.6135864
25621,2015-06-23 11:09:21.608,0.078933716,-1.5114899,-0.08505249
25623,2015-06-23 11:09:21.630,-0.15196228,-0.13444519,-0.7122803
25625,2015-06-23 11:09:21.648,-0.29597473,0.73439026,-0.1338501
25627,2015-06-23 11:09:21.670,-0.13053894,1.0176544,0.995636
25629,2015-06-23 11:09:21.688,0.23127747,0.89863586,2.7285461
25631,2015-06-23 11:09:21.710,0.21937561,0.57966614,1.3705444
25633,2015-06-23 11:09:21.729,-0.96009827,2.381607,-0.8562927
25635,2015-06-23 11:09:21.749,-2.1978912,5.1237946,7.923706
25637,2015-06-23 11:09:21.769,-2.5739899,8.762192,8.823486
25639,2015-06-23 11:09:21.789,-5.197159,18.527664,9.10199
25641,2015-06-23 11:09:21.809,-2.0193634,22.698074,13.863922
25643,2015-06-23 11:09:21.828,9.120773,20.786636,0.03753662
25645,2015-06-23 11:09:21.848,5.9215546,29.526169,-2.5094604
25647,2015-06-23 11:09:21.868,-3.6177826,35.836533,-2.295227
25649,2015-06-23 11:09:21.888,-2.1550446,28.100327,-0.158844
25651,2015-06-23 11:09:21.908,-1.7063446,24.554764,7.385742
25653,2015-06-23 11:09:21.928,-1.1671906,20.917557,5.9515686
25655,2015-06-23 11:09:21.947,-0.9803314,15.7009735,10.663513
25657,2015-06-23 11:09:21.967,-0.9089203,10.80217,8.378357
25659,2015-06-23 11:09:21.987,-0.92915344,6.7091217,5.3231506
25661,2015-06-23 11:09:22.007,-0.25312805,3.6991425,2.0787048
25663,2015-06-23 11:09:22.028,0.17533875,1.0331268,0.14346313
25665,2015-06-23 11:09:22.048,0.5752411,-1.268692,1.771637
25667,2015-06-23 11:09:22.068,-0.16743469,-2.8861542,0.71118164
25669,2015-06-23 11:09:22.088,-0.1745758,-3.731186,0.28033447
25671,2015-06-23 11:09:22.107,0.046798706,-2.7516632,0.12561035
25673,2015-06-23 11:09:22.128,-0.026992798,-1.5995636,0.03277588
25675,2015-06-23 11:09:22.147,-0.21861267,-0.68907166,-0.30880737
25677,2015-06-23 11:09:22.167,-0.23408508,0.014328003,-0.3552246
25679,2015-06-23 11:09:22.187,-0.207901,0.4511261,0.20773315
25681,2015-06-23 11:09:22.207,0.06227112,0.83436584,0.9527893
25683,2015-06-23 11:09:22.227,-0.038894653,1.6032257,0.565979
25685,2015-06-23 11:09:22.246,-0.9172516,3.2754364,1.9061279
25687,2015-06-23 11:09:22.267,-1.8313141,6.125931,5.992035
25689,2015-06-23 11:09:22.286,-3.2916718,11.941177,11.081268
25691,2015-06-23 11:09:22.308,-3.79393,20.719986,11.28241
25693,2015-06-23 11:09:22.326,-0.3388214,17.40889,8.265289
25695,2015-06-23 11:09:22.348,7.55925,17.457687,2.0168152
25697,2015-06-23 11:09:22.367,5.596634,25.37004,-0.77178955
25699,2015-06-23 11:09:22.387,-4.666336,35.806778,-2.4499512
25701,2015-06-23 11:09:22.407,-2.5275726,27.661148,-2.3166504
25703,2015-06-23 11:09:22.427,-2.6049347,24.985611,8.187927
25705,2015-06-23 11:09:22.447,-2.7049103,23.918015,2.5583496
25707,2015-06-23 11:09:22.467,-1.4468842,20.6212,5.6611633
25709,2015-06-23 11:09:22.486,0.05393982,15.329636,8.916321
25711,2015-06-23 11:09:22.506,-0.048416138,11.066391,6.79422
25713,2015-06-23 11:09:22.526,0.020614624,6.5865326,5.5219116
25715,2015-06-23 11:09:22.546,0.4990692,2.478012,3.58667
25717,2015-06-23 11:09:22.565,0.9132538,-0.646225,2.0644226
25719,2015-06-23 11:09:22.586,0.5823822,-2.7814178,1.2146301
25721,2015-06-23 11:09:22.605,-0.11982727,-3.963272,0.58026123
25723,2015-06-23 11:09:22.627,0.10749817,-3.3586578,0.8302002
25725,2015-06-23 11:09:22.645,0.34791565,-2.0792084,0.5838318
25727,2015-06-23 11:09:22.665,0.2205658,-1.223465,0.018493652
25729,2015-06-23 11:09:22.687,-0.13768005,-0.16419983,-0.33737183
25731,2015-06-23 11:09:22.706,-0.30311584,0.54039,-0.64086914
25733,2015-06-23 11:09:22.726,-0.27217102,0.77485657,-0.1255188
25735,2015-06-23 11:09:22.746,-0.3150177,0.69392395,1.0003967
25737,2015-06-23 11:09:22.766,-0.25074768,0.50468445,1.1932068
25739,2015-06-23 11:09:22.786,-0.28764343,0.65226746,0.25891113
25741,2015-06-23 11:09:22.805,-0.96128845,3.6301117,-4.020996
25743,2015-06-23 11:09:22.825,-2.0407867,6.294937,9.687561
25745,2015-06-23 11:09:22.845,-3.7141876,12.629105,7.847534
25747,2015-06-23 11:09:22.865,-1.5730438,39.15834,20.361145
25749,2015-06-23 11:09:22.885,6.8046722,14.196579,-1.2954712
25751,2015-06-23 11:09:22.905,6.2928925,22.67427,-1.2442932
25753,2015-06-23 11:09:22.924,-0.18766785,26.413834,-1.4323425
25755,2015-06-23 11:09:22.944,-6.8050995,34.01912,-0.5944519
25757,2015-06-23 11:09:22.964,-0.9470062,26.094864,2.1965332
25759,2015-06-23 11:09:22.984,-0.046035767,22.596909,6.051544
25761,2015-06-23 11:09:23.005,-1.3314362,19.448868,8.659241
25763,2015-06-23 11:09:23.025,-1.1493378,14.26561,9.864899
25765,2015-06-23 11:09:23.045,-1.1136322,9.529861,7.05249
25767,2015-06-23 11:09:23.063,-0.32096863,5.9842987,4.272217
25769,2015-06-23 11:09:23.085,0.7656708,3.1219025,2.9225464
25771,2015-06-23 11:09:23.104,0.9929962,0.76771545,1.1170349
