,epoch,load.txt.data.x,load.txt.data.y,load.txt.data.z
188275,2015-06-23 11:36:45.003,-1.5194855,9.545334,1.6573792
188277,2015-06-23 11:36:45.022,-1.4540253,9.629837,1.6026306
188279,2015-06-23 11:36:45.042,-1.4575958,9.589371,1.6680908
188281,2015-06-23 11:36:45.062,-1.4278412,9.6262665,1.5062256
188283,2015-06-23 11:36:45.082,-1.4480743,9.784561,1.3979187
188285,2015-06-23 11:36:45.102,-1.3171539,9.8405,1.1277466
188287,2015-06-23 11:36:45.121,-1.1279144,9.832169,0.9861145
188289,2015-06-23 11:36:45.142,-1.0600739,9.8381195,0.97421265
188291,2015-06-23 11:36:45.161,-1.2362213,9.96785,0.848053
188293,2015-06-23 11:36:45.183,-1.4683075,9.766708,1.2193909
188295,2015-06-23 11:36:45.201,-1.6634979,9.645309,1.0313416
188297,2015-06-23 11:36:45.223,-1.8003693,9.8381195,0.9527893
188299,2015-06-23 11:36:45.242,-1.8158417,9.851212,1.0801392
188301,2015-06-23 11:36:45.262,-1.8348846,9.745285,1.0051575
188303,2015-06-23 11:36:45.282,-1.7491913,9.745285,0.9373169
188305,2015-06-23 11:36:45.302,-1.5778046,9.789322,0.96588135
188307,2015-06-23 11:36:45.322,-1.5373383,9.892868,0.97540283
188309,2015-06-23 11:36:45.342,-1.5670929,9.845261,0.98135376
188311,2015-06-23 11:36:45.361,-1.5956573,9.817886,0.9682617
188313,2015-06-23 11:36:45.381,-1.6242218,9.900009,0.88375854
188315,2015-06-23 11:36:45.401,-1.6718292,9.940475,1.0658569
188317,2015-06-23 11:36:45.421,-1.6634979,9.77861,1.0420532
188319,2015-06-23 11:36:45.440,-1.6789703,9.7548065,1.0325317
188321,2015-06-23 11:36:45.461,-1.7122955,9.804794,1.0456238
188323,2015-06-23 11:36:45.480,-1.6980133,9.7738495,1.0325317
188325,2015-06-23 11:36:45.502,-1.7967987,9.780991,0.9289856
188327,2015-06-23 11:36:45.520,-1.8586884,9.77742,0.9028015
188329,2015-06-23 11:36:45.540,-1.7813263,9.804794,1.2336731
188331,2015-06-23 11:36:45.561,-1.6087494,9.877396,1.1777344
188333,2015-06-23 11:36:45.581,-1.6158905,9.857162,1.1634521
188335,2015-06-23 11:36:45.601,-1.7122955,9.640549,1.1206055
188337,2015-06-23 11:36:45.621,-1.8098907,9.528671,0.9206543
188339,2015-06-23 11:36:45.641,-1.8122711,9.567947,0.91589355
188341,2015-06-23 11:36:45.661,-1.7789459,9.678635,1.072998
188343,2015-06-23 11:36:45.680,-1.7634735,9.71553,1.0956116
188345,2015-06-23 11:36:45.700,-1.7658539,9.786942,1.1265564
188347,2015-06-23 11:36:45.720,-1.7741852,9.83931,1.2967529
188349,2015-06-23 11:36:45.740,-1.8098907,9.753616,1.2122498
188351,2015-06-23 11:36:45.760,-1.7956085,9.676254,1.1634521
188353,2015-06-23 11:36:45.779,-1.8491669,9.666733,1.1908264
188355,2015-06-23 11:36:45.801,-1.9360504,9.71077,1.21344
188357,2015-06-23 11:36:45.819,-1.939621,9.691727,1.2193909
188359,2015-06-23 11:36:45.839,-1.875351,9.673874,1.207489
188361,2015-06-23 11:36:45.859,-1.8598785,9.726242,1.1265564
188363,2015-06-23 11:36:45.880,-1.8789215,9.753616,1.1503601
188365,2015-06-23 11:36:45.900,-1.8325043,9.65126,1.2550964
188367,2015-06-23 11:36:45.920,-1.843216,9.58699,1.271759
188369,2015-06-23 11:36:45.940,-1.8348846,9.645309,1.2467651
188371,2015-06-23 11:36:45.960,-1.9039154,9.736954,1.188446
188373,2015-06-23 11:36:45.979,-1.9122467,9.807175,1.1455994
188375,2015-06-23 11:36:46.000,-1.850357,9.767899,1.0503845
188377,2015-06-23 11:36:46.019,-1.8955841,9.707199,1.072998
188379,2015-06-23 11:36:46.039,-1.9753265,9.673874,1.1610718
188381,2015-06-23 11:36:46.059,-1.9229584,9.681015,1.1027527
188383,2015-06-23 11:36:46.079,-1.9598541,9.678635,1.1229858
188385,2015-06-23 11:36:46.099,-1.8741608,9.703629,1.1813049
188387,2015-06-23 11:36:46.118,-1.7610931,9.770279,1.2062988
188389,2015-06-23 11:36:46.140,-1.7468109,9.719101,1.2408142
188391,2015-06-23 11:36:46.158,-1.7313385,9.698868,1.1598816
188393,2015-06-23 11:36:46.180,-1.7646637,9.735764,1.2098694
188395,2015-06-23 11:36:46.198,-1.7896576,9.750046,1.1575012
188397,2015-06-23 11:36:46.220,-1.786087,9.792892,1.1682129
188399,2015-06-23 11:36:46.239,-1.7991791,9.783371,1.130127
188401,2015-06-23 11:36:46.259,-1.8527374,9.691727,1.1360779
188403,2015-06-23 11:36:46.279,-1.856308,9.660782,1.1860657
188405,2015-06-23 11:36:46.299,-1.7967987,9.678635,1.2312927
