,epoch,load.txt.data.x,load.txt.data.y,load.txt.data.z
114650,2015-06-23 11:24:18.002,-1.2885895,9.58223,2.2703247
114651,2015-06-23 11:24:18.019,-0.94581604,9.71434,2.3905334
114653,2015-06-23 11:24:18.038,-0.5697174,10.072586,2.4024353
114655,2015-06-23 11:24:18.058,-0.118637085,10.392746,2.3786316
114657,2015-06-23 11:24:18.078,0.100357056,10.398697,2.246521
114659,2015-06-23 11:24:18.098,-0.118637085,10.007126,2.085846
114661,2015-06-23 11:24:18.118,-0.40190125,9.7548065,1.8989868
114663,2015-06-23 11:24:18.138,-0.6625519,9.704819,1.8751831
114665,2015-06-23 11:24:18.157,-0.80656433,9.822647,1.9573059
114667,2015-06-23 11:24:18.177,-0.72325134,10.029739,2.0596619
114669,2015-06-23 11:24:18.197,-0.5113983,10.084488,2.0596619
114671,2015-06-23 11:24:18.217,-0.25550842,9.944046,2.0906067
114673,2015-06-23 11:24:18.236,0.0039520264,9.689346,2.0917969
114675,2015-06-23 11:24:18.256,0.026565552,9.539383,2.2369995
114677,2015-06-23 11:24:18.276,-0.1341095,9.433456,2.361969
114679,2015-06-23 11:24:18.296,-0.3638153,9.39061,2.4119568
114681,2015-06-23 11:24:18.315,-0.6435089,9.432266,2.4167175
114683,2015-06-23 11:24:18.336,-0.8267975,9.547714,2.4381409
114685,2015-06-23 11:24:18.355,-0.8732147,9.686966,2.4464722
114687,2015-06-23 11:24:18.375,-0.8982086,9.7226715,2.4500427
114689,2015-06-23 11:24:18.395,-0.75538635,9.697678,2.3262634
114691,2015-06-23 11:24:18.415,-0.5625763,9.701248,2.221527
114693,2015-06-23 11:24:18.437,-0.48402405,9.703629,2.0846558
114695,2015-06-23 11:24:18.456,-0.44355774,9.738144,2.1715393
114697,2015-06-23 11:24:18.476,-0.4792633,9.798843,2.1584473
114699,2015-06-23 11:24:18.496,-0.51734924,9.860733,2.0679932
114701,2015-06-23 11:24:18.516,-0.53401184,9.828598,2.0513306
114703,2015-06-23 11:24:18.536,-0.50782776,9.759567,2.0810852
114705,2015-06-23 11:24:18.555,-0.49949646,9.6584015,2.1191711
114707,2015-06-23 11:24:18.575,-0.4875946,9.634598,2.1489258
114709,2015-06-23 11:24:18.595,-0.46736145,9.667923,2.1013184
114711,2015-06-23 11:24:18.615,-0.40904236,9.733383,2.0453796
114713,2015-06-23 11:24:18.635,-0.43998718,9.753616,2.0715637
114715,2015-06-23 11:24:18.654,-0.49354553,9.721481,2.0834656
114717,2015-06-23 11:24:18.676,-0.57566833,9.635788,2.1025085
114719,2015-06-23 11:24:18.694,-0.6423187,9.664352,2.0275269
114721,2015-06-23 11:24:18.714,-0.6780243,9.77623,2.0310974
114723,2015-06-23 11:24:18.734,-0.7363434,9.90715,2.0132446
114725,2015-06-23 11:24:18.755,-0.75419617,9.9535675,1.9930115
114727,2015-06-23 11:24:18.775,-0.6256561,9.920242,1.964447
114729,2015-06-23 11:24:18.795,-0.6197052,9.885727,1.9311218
114731,2015-06-23 11:24:18.813,-0.535202,9.809555,1.9382629
114733,2015-06-23 11:24:18.835,-0.54234314,9.686966,1.9216003
114735,2015-06-23 11:24:18.854,-0.52449036,9.691727,1.9584961
114737,2015-06-23 11:24:18.875,-0.4542694,9.845261,2.040619
114739,2015-06-23 11:24:18.894,-0.34239197,9.942856,2.1215515
114741,2015-06-23 11:24:18.914,-0.3804779,9.867874,2.0620422
114743,2015-06-23 11:24:18.934,-0.42689514,9.665543,2.022766
114745,2015-06-23 11:24:18.953,-0.5387726,9.51915,2.0144348
114747,2015-06-23 11:24:18.974,-0.669693,9.488205,2.0679932
114749,2015-06-23 11:24:18.993,-0.63874817,9.592941,2.0977478
